"","-12.46","","","FOODPLACE 1"
"","-7.18","","","PETROL DEPOT"
"","-13.76","","","FOOD STORE"
"","-35.22","","","FOOD STORE"
"","-21.98","","","CRAFT PLACE"
"","-22.41","","","RESTAURANT 3"
"","-4.01","","","FOODPLACE 2"
"","-0.54","","","PETROL DEPOT"
"","-0.47","","","FOODPLACE 1"
"","-33.83","","","HOME SUPPLY"
"","-4.17","","","FOODPLACE 2"
"","-0.89","","","SUPER FOOD PLACE"
"","-57.82","","","PETROL DEPOT"
"","-1.08","","","FOOD STORE"
"","-65.88","","","COFFEE SHOP"
"","-34.44","","","CRAFT PLACE"
"","-29.45","","","RESTAURANT 3"
"","-1.19","","","PHARMACY"
"","-10.62","","","COFFEE SHOP"
"","-14.83","","","PETROL DEPOT"
