"","-24.14","","","HOME SUPPLY"
"","-21.84","","","COFFEE SHOP"
"","-33.06","","","FIXUP HOME PLACE"
"","-55.62","","","ONLINE RETAIL THING"
"","-5.63","","","GAS!"
"","-45.2","","","HOME SUPPLY"
"","-5.9","","","COFFEE SHOP"
"","-6.87","","","RESTAURANT 1"
"","-13.87","","","SUPER FOOD PLACE"
"","-0.88","","","RESTAURANT 3"
"","-21.27","","","RESTAURANT 2"
"","-41.24","","","ONLINE RETAIL THING"
"","-6.91","","","RESTAURANT 1"
"","-21.32","","","FOODPLACE 1"
"","-15.03","","","ONLINE RETAIL THING"
"","-67.55","","","RESTAURANT 1"
"","-10.84","","","CRAFT PLACE"
"","-34.49","","","FIXUP HOME PLACE"
"","-9.05","","","RESTAURANT 3"
"","-48.94","","","GAS!"
