"","-46.46","","","RESTAURANT 3"
"","-6.64","","","DOCTOR OFFICE"
"","-11.62","","","RESTAURANT 2"
"","-5.98","","","GAS!"
"","-18.1","","","ONLINE RETAIL THING"
"","-21.43","","","FOODPLACE 2"
"","-8.62","","","RESTAURANT 3"
"","-9.75","","","SUPER FOOD PLACE"
"","-19.57","","","DOCTOR OFFICE"
"","-0.28","","","FOODPLACE FUEL"
"","-6.95","","","COFFEE SHOP"
"","-8.01","","","FOODPLACE FUEL"
"","-15.21","","","FOODPLACE 2"
"","-16.16","","","DOCTOR OFFICE"
"","-24.73","","","FOODPLACE 2"
"","-13.65","","","RESTAURANT 1"
"","-45.73","","","FOODPLACE 1"
"","-38.05","","","GAS!"
"","-4.53","","","HOME SUPPLY"
"","-16.15","","","COFFEE SHOP"
